5,-0.32424,9.7122,0.45858,0.28887,0.010262,0.73735,-0.67273,0.64072,0.41522,36124,1
5,-0.32437,9.7242,0.45834,0.41375,-0.3105,0.7698,-0.68889,0.6507,0.41522,36144,1
5,-0.32437,9.7364,0.4703,0.18227,0.024428,0.72563,-0.68889,0.62475,0.41739,36163,1
5,-0.31205,9.7123,0.45834,0.38013,0.0097893,0.5988,-0.70303,0.57485,0.4087,36183,1
5,-0.29998,9.7245,0.45785,0.50116,0.073802,0.7394,-0.68687,0.64271,0.41304,36202,1
5,-0.33644,9.7242,0.47078,0.39396,0.14767,0.55861,-0.69091,0.62076,0.41304,36222,1
5,-0.28755,9.7127,0.47003,0.97755,-0.4162,0.37984,-0.68081,0.65269,0.40435,36241,1
5,-0.33643,9.7121,0.45883,0.07489,0.11558,0.73854,-0.68283,0.58882,0.39348,36261,1
5,-0.31205,9.7123,0.45834,0.36704,-0.20253,0.86906,-0.68081,0.62275,0.4087,36280,1
5,-0.31218,9.7365,0.47005,0.45846,-0.21864,0.70161,-0.66869,0.64471,0.40652,36300,1
5,-0.33668,9.7362,0.45835,0.3672,-0.21816,0.84016,-0.68687,0.62874,0.40217,36320,1
5,-0.31217,9.7244,0.4581,0.50312,-0.12198,1.1129,-0.67879,0.61876,0.40217,36339,1
5,-0.31218,9.7365,0.47005,0.32295,-0.35619,0.89657,-0.67273,0.63673,0.4,36359,1
5,-0.3123,9.7242,0.44591,0.55154,-0.40136,0.75566,-0.69293,0.64671,0.41304,36378,1
5,-0.32424,9.7122,0.45858,0.27795,-0.41827,0.87273,-0.68889,0.62475,0.41957,36398,1
5,-0.29999,9.7366,0.4698,0.56614,-0.34016,0.72081,-0.68283,0.64471,0.40652,36417,1
5,-0.3001,9.7243,0.44566,0.42958,-0.3729,0.6536,-0.68687,0.64072,0.42174,36437,1
5,-0.31242,9.7484,0.45762,0.36706,-0.20433,0.68928,-0.67475,0.62275,0.40435,36456,1
5,-0.3123,9.7242,0.44591,0.38412,-0.38897,0.62656,-0.67273,0.65469,0.41522,36476,1
5,-0.29999,9.7366,0.4698,0.16691,0.03902,0.66525,-0.68081,0.64471,0.41739,36495,1
5,-0.31217,9.7244,0.4581,0.32221,-0.2816,0.68149,-0.68687,0.63273,0.41522,36515,1
5,-0.29998,9.7245,0.45785,0.30684,-0.26536,0.78591,-0.67475,0.65269,0.42174,36534,1
5,-0.31217,9.7244,0.4581,0.45646,-0.018657,0.74767,-0.68889,0.65269,0.41739,36554,1
